album	artist	genre	score	author	date	link	genre_num
Before Today	Ariel Pink's Haunted Graffiti	Experimental,Rock	9.0	Mark Richardson	June 7 2010	https://pitchfork.com/reviews/albums/14324-before-today/	0
Tunnel of Love	Bruce Springsteen	Rock	9.5	Sam Sodomsky	May 19 2018	https://pitchfork.com/reviews/albums/bruce-springsteen-the-album-collection-vol-2-1987-1996/	7
Nevermind [20th Anniversary Edition]	Nirvana	Rock	10.0	Jess Harvell	September 27 2011	https://pitchfork.com/reviews/albums/15854-nevermind-20th-anniversary-edition/	7
The Real Thing	Faith No More	Rock	7.6	Stuart Berman	June 10 2015	https://pitchfork.com/reviews/albums/20606-faith-no-more-the-real-thing-angel-dust/	7
Hurry Up, We're Dreaming	M83	Electronic,Rock	9.1	Ian Cohen	October 17 2011	https://pitchfork.com/reviews/albums/15881-hurry-up-were-dreaming/	2
There Is Love in You	Four Tet	Electronic	8.6	Mark Richardson	January 25 2010	https://pitchfork.com/reviews/albums/13861-there-is-love-in-you/	2
Psychocandy	The Jesus and Mary Chain	Rock	9.6	Nitsuh Abebe	August 4 2006	https://pitchfork.com/reviews/albums/11882-psychocandy-darklands-automatic-honeys-dead-stoned-dethroned/	7
The Complete Peel Sessions, 1978-2004	The Fall	Rock	9.3	Joe Tangari	June 12 2005	https://pitchfork.com/reviews/albums/2978-the-complete-peel-sessions-1978-2004/	7
Rage Against the Machine	Rage Against the Machine	Metal	9.1	Grayson Haver Currin	December 17 2017	https://pitchfork.com/reviews/albums/rage-against-the-machine-rage-against-the-machine/	8
Lady Day: The Master Takes and Singles	Billie Holiday	Jazz	9.0	Mark Richardson	October 12 2007	https://pitchfork.com/reviews/albums/10777-lady-day-the-master-takes-and-singles/	5
Fever to Tell	Yeah Yeah Yeahs	Rock	7.4	Eric Carr	April 28 2003	https://pitchfork.com/reviews/albums/8888-fever-to-tell/	7
Anthology	The Clean	Rock	8.5	Joe Tangari	April 10 2003	https://pitchfork.com/reviews/albums/1494-anthology/	7
Out of Time	R.E.M.	Rock	8.4	Evan Rytlewski	December 2 2016	https://pitchfork.com/reviews/albums/22669-out-of-time/	7
The Last Broadcast	Doves	Rock	8.0	Joe Tangari	June 6 2002	https://pitchfork.com/reviews/albums/2430-the-last-broadcast/	7
The Complete Motown Singles, Vol. 11A: 1971	Various Artists	nan	8.9	Joe Tangari	April 30 2009	https://pitchfork.com/reviews/albums/12880-the-complete-motown-singles-vol-11a-1971the-complete-motown-singles-vol-11b-1971/	9
Lipstick Traces: A Secret History of Manic Street Preachers	Manic Street Preachers	Rock	6.3	Joe Tangari	February 23 2004	https://pitchfork.com/reviews/albums/5073-lipstick-traces-a-secret-history-of-manic-street-preachers/	7
Down Colorful Hill	Red House Painters	Rock	8.2	Brandon Stosuy	May 6 2015	https://pitchfork.com/reviews/albums/20517-box-set/	7
Achtung Baby [Super Deluxe Edition]	U2	Rock	9.5	Ryan Dombal	November 9 2011	https://pitchfork.com/reviews/albums/16022-achtung-baby-super-deluxe-edition/	7
Rid of Me	PJ Harvey	Rock	10.0	Judy Berman	September 16 2018	https://pitchfork.com/reviews/albums/pj-harvey-rid-of-me/	7
Blur 21	Blur	Rock	8.5	Lindsay Zoladz	July 31 2012	https://pitchfork.com/reviews/albums/16877-blur-21/	7
Asleep in the Back	Elbow	Rock	7.4	Joe Tangari	February 5 2002	https://pitchfork.com/reviews/albums/2718-asleep-in-the-back/	7
Silent Night	William Basinski	Experimental	7.7	Joe Tangari	February 15 2005	https://pitchfork.com/reviews/albums/11663-silent-night-variations-a-movement-in-chrome-primitive/	0
The Information: Deluxe Edition	Beck	Rock	7.4	Nate Patrin	March 12 2007	https://pitchfork.com/reviews/albums/9980-the-information-deluxe-edition/	7
Headdress	Sunburned Hand of the Man	Experimental,Rock	9.0	Andrew Bryant	April 24 2003	https://pitchfork.com/reviews/albums/7569-headdress/	0
You Forgot It in People	Broken Social Scene	Rock	9.2	Ryan Schreiber	February 2 2003	https://pitchfork.com/reviews/albums/952-you-forgot-it-in-people/	7
Box Set	Neutral Milk Hotel	Rock	9.5	Mark Richardson	January 9 2012	https://pitchfork.com/reviews/albums/16160-box-set/	7
Man Chest Hair	Various Artists	nan	7.1	Joe Tangari	January 4 2013	https://pitchfork.com/reviews/albums/17417-man-chest-hair/	9
Metal Machine Music	Lou Reed	Rock	8.7	Mark Richardson	December 3 2017	https://pitchfork.com/reviews/albums/lou-reed-metal-machine-music/	7
Under a Blood Red Sky	U2	Rock	9.0	Scott Plagenhoef	September 29 2008	https://pitchfork.com/reviews/albums/12260-under-a-blood-red-sky/	7
The Band	The Band	Rock	10.0	Steven Hyden	June 10 2018	https://pitchfork.com/reviews/albums/the-band-the-band/	7
Grave Disorder	The Damned	Metal,Rock	3.8	Joe Tangari	December 5 2001	https://pitchfork.com/reviews/albums/2154-grave-disorder/	8
The Voyager	Jenny Lewis	Rock	7.2	Stephen M. Deusner	July 31 2014	https://pitchfork.com/reviews/albums/19686-jenny-lewis-the-voyager/	7
At the Speed of Light of Day	Volta Do Mar	nan	6.0	Dominique Leone	December 2 2001	https://pitchfork.com/reviews/albums/8487-at-the-speed-of-light-of-day/	9
Drift	The Men	Rock	6.6	Stuart Berman	March 5 2018	https://pitchfork.com/reviews/albums/the-men-drift/	7
17	XXXTentacion	Rap	6.5	Meaghan Garvey	August 31 2017	https://pitchfork.com/reviews/albums/xxxtentacion-17/	4
CBGB's and the Birth of U.S. Punk	Various Artists	nan	7.1	Eric Carr	June 27 2002	https://pitchfork.com/reviews/albums/2009-cbgbs-and-the-birth-of-us-punk/	9
The Incomplete Triangle	Lansing-Dreiden	Rock	7.2	Miles Raymer	June 13 2013	https://pitchfork.com/reviews/albums/18167-lansing-dreiden-the-incomplete-triangle-a-sectioned-beam-the-dividing-island/	7
Unknown Pleasures	Joy Division	Rock	10.0	Joshua Klein	October 29 2007	https://pitchfork.com/reviews/albums/11624-unknown-pleasurescloserstill/	7
Live at the Fillmore East (March 7, 1970): It's About That Time	Miles Davis	Jazz	9.5	Dominique Leone	October 10 2001	https://pitchfork.com/reviews/albums/2197-live-at-the-fillmore-east-march-7-1970-its-about-that-time/	5
Totally Wired: The Rough Trade Anthology	The Fall	Rock	9.0	Joe Tangari	October 9 2002	https://pitchfork.com/reviews/albums/2967-totally-wired-the-rough-trade-anthology/	7
Left of the Dial: Dispatches from the 80s Underground	Various Artists	nan	8.3	Chris Dahlen	October 19 2004	https://pitchfork.com/reviews/albums/1970-left-of-the-dial-dispatches-from-the-80s-underground/	9
The Cutting Edge 1965-1966: The Bootleg Series Volume 12	Bob Dylan	Rock	8.7	Mark Richardson	November 5 2015	https://pitchfork.com/reviews/albums/21178-the-cutting-edge-1965-1966-the-bootleg-series-volume-12/	7
Half Way Home	Angel Olsen	Rock	8.0	Laura Snapes	September 12 2012	https://pitchfork.com/reviews/albums/17154-half-way-home/	7
Imagine the Shapes	Various Artists	nan	7.2	Nitsuh Abebe	February 13 2007	https://pitchfork.com/reviews/albums/9888-imagine-the-shapes/	9
It Was Hot, We Stayed in the Water	The Microphones	Experimental,Rock	9.2	Matt LeMay	August 31 2000	https://pitchfork.com/reviews/albums/5268-it-was-hot-we-stayed-in-the-water/	0
Good God! Born Again Funk	Various Artists	nan	8.0	Joe Tangari	February 5 2010	https://pitchfork.com/reviews/albums/13811-good-god-born-again-funk/	9
Kid A: Special Collectors Edition	Radiohead	Rock	10.0	Rob Mitchum	August 25 2009	https://pitchfork.com/reviews/albums/13385-kid-a-special-collectors-edition/	7
Beyond	Dinosaur Jr.	Rock	8.4	Zach Baron	May 1 2007	https://pitchfork.com/reviews/albums/10127-beyond/	7
Change	The Dismemberment Plan	Rock	8.6	Ryan Schreiber	October 23 2001	https://pitchfork.com/reviews/albums/2339-change/	7
Musicology	Prince	Pop/R&B,Rock	5.8	Dominique Leone	April 28 2004	https://pitchfork.com/reviews/albums/6479-musicology/	3
Kish Kash	Basement Jaxx	Electronic	9.1	Scott Plagenhoef	October 21 2003	https://pitchfork.com/reviews/albums/573-kish-kash/	2
Faust	Faust	Rock	9.0	Dominique Leone	September 25 2001	https://pitchfork.com/reviews/albums/11738-faustso-far/	7
My Life in the Bush of Ghosts	David Byrne, Brian Eno	Rock,Experimental	8.5	Chris Dahlen	March 23 2006	https://pitchfork.com/reviews/albums/1064-my-life-in-the-bush-of-ghosts/	7
The Song Remains the Same	Led Zeppelin	Rock	7.3	Jeremy Gordon	September 8 2018	https://pitchfork.com/reviews/albums/led-zeppelin-the-song-remains-the-same/	7
Travel Edition, 1990-2004	Saint Etienne	Electronic,Rock	9.0	Scott Plagenhoef	December 13 2004	https://pitchfork.com/reviews/albums/6975-travel-edition-1990-2004/	2
Super Fly	Curtis Mayfield	Pop/R&B	9.1	Mychal Denzel Smith	June 17 2018	https://pitchfork.com/reviews/albums/curtis-mayfield-super-fly/	3
Dangerous	Michael Jackson	Pop/R&B	8.6	Jeff Weiss	August 7 2016	https://pitchfork.com/reviews/albums/22044-dangerous/	3
The Next Day	David Bowie	Rock	7.6	Ryan Dombal	March 11 2013	https://pitchfork.com/reviews/albums/17855-david-bowie-the-next-day/	7
The Capitol Albums, Vol. 2	The Beatles	Rock	7.5	Dominique Leone	April 20 2006	https://pitchfork.com/reviews/albums/1096-the-capitol-albums-vol-2/	7
Leave Home	Ramones	Rock	9.5	Stephen Thomas Erlewine	July 22 2017	https://pitchfork.com/reviews/albums/ramones-leave-home/	7
Magical Mystery Tour	The Beatles	Rock	10.0	Scott Plagenhoef	September 9 2009	https://pitchfork.com/reviews/albums/13436-magical-mystery-tour/	7
A Weekend in the City	Bloc Party	Rock	7.5	Nitsuh Abebe	February 5 2007	https://pitchfork.com/reviews/albums/9859-a-weekend-in-the-city/	7
Jarvis	Jarvis Cocker	Rock	6.2	Stephen Troussé	November 16 2006	https://pitchfork.com/reviews/albums/9619-jarvis/	7
Long Live the King EP	The Decemberists	Rock	6.8	Rachael Maddux	October 31 2011	https://pitchfork.com/reviews/albums/15985-long-live-the-king-ep/	7
Nebraska	Bruce Springsteen	Rock	10.0	Mark Richardson	March 18 2018	https://pitchfork.com/reviews/albums/bruce-springsteen-nebraska/	7
Smile	Brian Wilson	Rock	9.0	Dominique Leone	September 28 2004	https://pitchfork.com/reviews/albums/8781-smile/	7
Monster Movie	Can	Experimental	8.7	Dominique Leone	November 10 2004	https://pitchfork.com/reviews/albums/11698-monster-moviesoundtrackstago-magoege-bamyasi/	0
Sad Sappy Sucker	Modest Mouse	Rock	7.0	Spencer Owen	January 4 2001	https://pitchfork.com/reviews/albums/5356-sad-sappy-sucker/	7
The Collection	Sly and the Family Stone	Rock	9.5	Jess Harvell	April 27 2007	https://pitchfork.com/reviews/albums/10161-the-collection/	7
Stereo Box	The Beatles	Rock	10.0	Mark Richardson	September 7 2009	https://pitchfork.com/reviews/albums/13425-stereo-box-in-mono/	7
The Warmth of the Sun	The Beach Boys	Rock	8.6	Mark Richardson	May 29 2007	https://pitchfork.com/reviews/albums/10271-the-warmth-of-the-sun/	7
Things Fall Apart	The Roots	Rap	9.4	Marcus J. Moore	August 28 2016	https://pitchfork.com/reviews/albums/22132-things-fall-apart/	4
Love	The Beatles	Rock	8.5	Mark Richardson	November 30 2006	https://pitchfork.com/reviews/albums/9669-love/	7
Marquee Moon	Television	Rock,Electronic	10.0	Chris Dahlen	December 9 2003	https://pitchfork.com/reviews/albums/11853-marquee-moon-adventure/	7
The Complete Motown Singles, Vol. 5: 1965	Various Artists	nan	9.7	Joe Tangari	November 10 2006	https://pitchfork.com/reviews/albums/9552-the-complete-motown-singles-vol-5-1965/	9
A Data Learn the Language	Mercury Program	Rock	7.5	Brendan Reid	October 21 2002	https://pitchfork.com/reviews/albums/5233-a-data-learn-the-language/	7
Rated O	Oneida	Rock	8.4	Jason Crock	July 16 2009	https://pitchfork.com/reviews/albums/13215-rated-o/	7
Recollected	Hood	Rock	8.5	Ned Raggett	February 24 2012	https://pitchfork.com/reviews/albums/16248-recollected/	7
The Top	The Cure	Rock	6.9	Nitsuh Abebe	August 25 2006	https://pitchfork.com/reviews/albums/11887-the-top-the-head-on-the-door-kiss-me-kiss-me-kiss-me-blue-sunshine/	7
Communion	Soundtrack of Our Lives	Rock	6.2	Joshua Klein	March 11 2009	https://pitchfork.com/reviews/albums/12736-communion/	7
The Worse Things Get, the Harder I Fight...	Neko Case	Folk/Country	8.2	Lindsay Zoladz	September 5 2013	https://pitchfork.com/reviews/albums/18451-neko-case-the-worse-things-get-the-harder-i-fight/	6
Blood Visions	Jay Reatard	Rock	9.1	Evan Minsker	April 22 2016	https://pitchfork.com/reviews/albums/21714-blood-visions/	7
The Velvet Underground – 45th Anniversary Super Deluxe Edition	The Velvet Underground	Rock	10.0	Stuart Berman	November 24 2014	https://pitchfork.com/reviews/albums/20015-the-velvet-underground-the-velvet-underground/	7
for hero: for fool	Subtle	Rap,Rock	8.0	Chris Dahlen	October 5 2006	https://pitchfork.com/reviews/albums/9488-for-hero-for-fool/	4
Apocalypse	Bill Callahan	Rock	8.0	Mike Powell	April 13 2011	https://pitchfork.com/reviews/albums/15285-apocalypse/	7
All Tomorrow's Parties v1.1	Various Artists	nan	8.4	Kevin Adickes	January 23 2002	https://pitchfork.com/reviews/albums/1843-all-tomorrows-parties-v11/	9
Sketches of Spain: Legacy Edition	Miles Davis	Jazz	8.0	Mark Richardson	June 5 2009	https://pitchfork.com/reviews/albums/13088-sketches-of-spain-legacy-edition/	5
Singles 93-03	The Chemical Brothers	Electronic	7.8	Scott Plagenhoef	September 25 2003	https://pitchfork.com/reviews/albums/1413-singles-93-03/	2
Coming Up [Deluxe Edition]	Suede	Rock	7.9	Joe Tangari	June 24 2011	https://pitchfork.com/reviews/albums/15571-coming-up-deluxe-edition-head-music-deluxe-edition-a-new-morning-deluxe-edition/	7
Please Please Me	The Beatles	Rock	9.5	Tom Ewing	September 8 2009	https://pitchfork.com/reviews/albums/13419-please-please-me/	7
Trouble No More: The Bootleg Series Vol. 13 / 1979-1981	Bob Dylan	Rock	8.1	Sam Sodomsky	November 4 2017	https://pitchfork.com/reviews/albums/bob-dylan-trouble-no-more-the-bootleg-series-vol-13-1979-1981/	7
At War With the Mystics	The Flaming Lips	Rock	6.7	Mark Richardson	April 2 2006	https://pitchfork.com/reviews/albums/3086-at-war-with-the-mystics/	7
For the Birds	The Frames	Rock	7.5	Joe Tangari	January 29 2002	https://pitchfork.com/reviews/albums/3172-for-the-birds/	7
Open Your Heart	The Men	Rock	8.5	Ian Cohen	March 5 2012	https://pitchfork.com/reviews/albums/16295-open-your-heart/	7
Yearbook 1	Studio	Electronic,Pop/R&B	8.3	Mark Richardson	February 15 2007	https://pitchfork.com/reviews/albums/9898-yearbook-1/	2
The Sahara Sessions	Etran Finatawa	Global	7.1	Joe Tangari	June 10 2013	https://pitchfork.com/reviews/albums/18157-etran-finatawa-the-sahara-sessions/	1
Five Years 1969-1973	David Bowie	Rock	8.2	Douglas Wolk	October 1 2015	https://pitchfork.com/reviews/albums/21066-five-years-1969-1973/	7
Boscoe	Boscoe	Rock	8.5	Joe Tangari	January 18 2008	https://pitchfork.com/reviews/albums/11644-boscoegently-down-your-streamappetizer-soups-onpropinquity/	7
Lost in Space	Aimee Mann	Rock	7.6	Chris Dahlen	August 25 2002	https://pitchfork.com/reviews/albums/5083-lost-in-space/	7
Discreet Music	Brian Eno	Experimental	8.8	Liam Singer	October 7 2004	https://pitchfork.com/reviews/albums/11731-discreet-musicambient-1-music-for-airportsambient-2-the-plateaux-of-mirror-with-harold-buddambient-4-on-land/	0
AIM	M.I.A.	Global,Pop/R&B	5.9	Kevin Lozano	September 13 2016	https://pitchfork.com/reviews/albums/22396-aim/	1
Echoes and Rhymes	The Primitives	nan	7.5	Ned Raggett	May 2 2012	https://pitchfork.com/reviews/albums/16569-echoes-and-rhymes/	9
Know Your Enemy	Manic Street Preachers	Rock	7.5	Brendan Reid	March 19 2001	https://pitchfork.com/reviews/albums/5072-know-your-enemy/	7
A Hard Day's Night	The Beatles	Rock	9.7	Tom Ewing	September 8 2009	https://pitchfork.com/reviews/albums/13422-a-hard-days-night/	7
Fight Test EP	The Flaming Lips	Rock	6.5	Chris Dahlen	April 30 2003	https://pitchfork.com/reviews/albums/3083-fight-test-ep/	7
Fabric 39	Robert Hood	Electronic	7.3	Tim Finney	May 2 2008	https://pitchfork.com/reviews/albums/11461-fabric-39/	2
To Be Free: The Nina Simone Story	Nina Simone	Jazz,Pop/R&B	9.2	Chris Dahlen	December 12 2008	https://pitchfork.com/reviews/albums/12516-to-be-free-the-nina-simone-story/	5
LP1	FKA twigs	Electronic,Pop/R&B	8.8	Philip Sherburne	August 11 2014	https://pitchfork.com/reviews/albums/19590-twigs-lp1/	2
Voodoo	D’Angelo	Pop/R&B	10.0	Ryan Dombal	December 12 2012	https://pitchfork.com/reviews/albums/17407-voodoo/	3
Lush	Snail Mail	Rock	8.7	Ryan Dombal	June 8 2018	https://pitchfork.com/reviews/albums/snail-mail-lush/	7
The Embassy Tapes	Nation of Ulysses	Metal,Rock	6.6	Camilo Arturo Leslie	April 15 2000	https://pitchfork.com/reviews/albums/5716-the-embassy-tapes/	8
Report from Iron Mountain	Date Course Pentagon Royal Garden	Jazz	6.0	Dominique Leone	February 12 2002	https://pitchfork.com/reviews/albums/2177-report-from-iron-mountain/	5
Information Retrieved	Pinback	Rock	6.8	Ian Cohen	October 17 2012	https://pitchfork.com/reviews/albums/17179-information-retrieved/	7
The Complete In a Silent Way Sessions	Miles Davis	Jazz	9.5	Dominique Leone	November 7 2001	https://pitchfork.com/reviews/albums/2199-the-complete-in-a-silent-way-sessions/	5
Surf	Donnie Trumpet & the Social Experiment	Pop/R&B,Rap	8.3	David Drake	June 5 2015	https://pitchfork.com/reviews/albums/20664-surf/	3
Room 25	Noname	Rap	8.6	Briana Younger	September 19 2018	https://pitchfork.com/reviews/albums/noname-room-25/	4
How to Solve Our Human Problems, Pt. 1	Belle and Sebastian	Rock	6.9	Stuart Berman	December 8 2017	https://pitchfork.com/reviews/albums/how-to-solve-our-human-problems-pt-1/	7
Just Like Heaven: A Tribute to the Cure	Various Artists	nan	1.7	Ian Cohen	March 12 2009	https://pitchfork.com/reviews/albums/12766-just-like-heaven-a-tribute-to-the-cure-perfect-as-cats-a-tribute-to-the-cure/	9
Everywhere and His Nasty Parlour Tricks EP	Modest Mouse	Rock	7.8	Matt LeMay	October 4 2001	https://pitchfork.com/reviews/albums/5360-everywhere-and-his-nasty-parlour-tricks-ep/	7
Reformation Post TLC	The Fall	Rock	4.0	Joe Tangari	March 12 2007	https://pitchfork.com/reviews/albums/9987-reformation-post-tlc/	7
Songs From the Big Chair	Tears for Fears	Rock	8.9	Tal Rosenberg	August 20 2017	https://pitchfork.com/reviews/albums/tears-for-fears-songs-from-the-big-chair/	7
Live in Liverpool	Echo and the Bunnymen	Electronic,Rock	7.9	Joe Tangari	March 26 2002	https://pitchfork.com/reviews/albums/2668-live-in-liverpool/	2
Queen	Queen	Rock	6.7	Dominique Leone	March 24 2011	https://pitchfork.com/reviews/albums/15221-reissues/	7
Shaking the Habitual	The Knife	Electronic,Experimental	8.4	Lindsay Zoladz	April 8 2013	https://pitchfork.com/reviews/albums/17847-the-knife-shaking-the-habitual/	2
Paid in Full	Eric B. & Rakim	Rap	7.8	Jess Harvell	June 1 2005	https://pitchfork.com/reviews/albums/11734-paid-in-full-follow-the-leader/	4
